iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,meanauctionkmin,meanauctionkmax,countratio,kminauctionratio,kmaxauctionratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
1000,[0- [1- None- 2- [3- None]]],2,1.14,0.99,0.99,0.00,0.46,0.00,0.46,40.84,0.00,46.74,445.8,249.4,55.956
1000,[0- [1- None- 2- [3- None]]],4,2.37,1.47,1.82,32.06,1.52,0.15,1.36,64.15,10.59,75.01,1070.7,863.2,80.623
1000,[0- [1- None- 2- [3- None]]],6,3.53,1.61,2.58,38.08,2.58,0.43,2.15,73.17,26.74,83.08,1605.0,1427.7,88.958
1000,[0- [1- None- 2- [3- None]]],10,5.95,1.97,4.15,49.23,4.96,1.22,3.74,83.38,62.03,89.94,2826.4,2689.8,95.168
1000,[0- [1- None- 2- [3- None]]],16,9.56,3.04,6.56,67.12,8.54,2.4,6.14,89.26,78.89,93.59,4665.1,4566.5,97.886
1000,[0- [1- None- 2- [3- None]]],26,15.57,5.00,10.56,80.01,14.56,4.40,10.16,93.53,87.94,96.18,7625.2,7564.9,99.209
1000,[0- [1- None- 2- [3- None]]],50,30.08,10.04,20.04,90.04,29.10,9.44,19.66,96.74,94.00,98.11,14854.6,14825.3,99.802
1000,[0- [1- None- 2- [3- None]]],100,60.07,19.85,40.22,94.96,59.04,19.21,39.82,98.27,96.77,99.01,29860.9,29844.1,99.943
1000,[0- [1- None- 2- [3- None]]],500,299.93,99.65,200.27,98.99,298.93,99.04,199.89,99.66,99.38,99.80,149771.4,149768.4,99.997
1000,[0- [1- None- 2- [3- None]]],1000,599.88,199.24,400.64,99.49,598.89,198.65,400.24,99.83,99.70,99.89,299226.1,299224.4,99.999
1000,[0- [1- None- 2- [3- None]]],2000,1198.61,398.45,800.16,99.74,1197.59,397.85,799.74,99.91,99.84,99.94,597935.1,597934.3,99.999
1000,[0- [1- None- 2- [3- None]]],5000,2997.58,998.56,1999.02,99.89,2996.56,997.95,1998.60,99.96,99.93,99.97,1496897.1,1496896.7,99.999
