stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,auctionkmin,auctionkmax,countratio,kminratio,kmaxratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.01,1.01,0.16,1.11,107962.1,0.479,0.00,0.47,37.21,0.0,41.32,60331.1,43.303
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.55,1.82,35.63,2.27,228586.0,1.48,0.11,1.37,64.63,10.63,74.67,192373.6,80.239
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.89,2.67,47.10,3.45,346637.6,2.57,0.34,2.23,74.44,25.63,83.51,320297.7,90.570
Average,[0-> [1-> None-> 2-> [3-> None]]],10,2.46,4.32,59.48,5.79,584395.6,4.85,0.954,3.90,83.56,47.12,90.14,568516.5,96.277
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.37,6.81,70.32,9.34,948344.0,8.37,1.979,6.40,89.56,64.86,93.93,939016.2,98.495
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.08,10.92,80.33,15.23,1550306.3,14.24,3.73,10.52,93.48,77.55,96.23,1544434.4,99.406
Average,[0-> [1-> None-> 2-> [3-> None]]],50,9.53,20.79,89.51,29.37,2994868.9,28.37,7.98,20.39,96.57,87.07,98.05,2991675.4,99.832
Average,[0-> [1-> None-> 2-> [3-> None]]],100,18.96,41.33,94.72,58.82,6015768.0,57.80,16.88,40.94,98.26,92.12,99.04,6014107.1,99.954
Average,[0-> [1-> None-> 2-> [3-> None]]],500,90.84,205.95,98.89,294.35,30109203.1,293.22,87.76,205.56,99.61,96.92,99.81,30108743.2,99.997
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,177.66,411.87,99.43,588.92,60267657.8,587.68,176.37,411.48,99.78,98.45,99.90,60267368.0,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,354.29,823.71,99.71,1178.01,120564777.2,1176.57,353.56,823.34,99.87,99.29,99.95,120564601.2,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,849.62,1959.05,99.88,2808.67,285778795.2,2806.40,848.64,1958.46,99.91,99.41,99.96,285778688.4,99.999
