iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
5000,[0- [1- None- 2- [3- None]]],2,0.99,0.83,0.83,0.000,0.27,27.525,737.6,294.8,39.972
5000,[0- [1- None- 2- [3- None]]],4,1.99,1.12,1.34,6.023,1.13,56.942,1698.4,1263.3,74.380
5000,[0- [1- None- 2- [3- None]]],6,2.99,1.31,1.93,13.770,2.12,70.808,2698.4,2351.1,87.131
5000,[0- [1- None- 2- [3- None]]],10,5.01,2.00,3.07,33.444,4.14,82.692,4667.7,4441.7,95.156
5000,[0- [1- None- 2- [3- None]]],16,7.99,3.31,4.69,53.615,7.12,89.106,7666.8,7514.0,98.006
5000,[0- [1- None- 2- [3- None]]],26,13.03,5.62,7.41,69.795,12.16,93.316,12686.1,12589.8,99.240
5000,[0- [1- None- 2- [3- None]]],50,24.99,11.25,13.74,83.676,24.11,96.484,24607.7,24552.8,99.777
5000,[0- [1- None- 2- [3- None]]],100,50.02,23.28,26.74,91.765,49.17,98.301,49657.8,49631.7,99.947
5000,[0- [1- None- 2- [3- None]]],500,249.74,120.99,128.75,98.360,248.88,99.655,249118.2,249112.9,99.997
5000,[0- [1- None- 2- [3- None]]],1000,499.95,244.50,255.44,99.185,499.06,99.822,499072.3,499069.5,99.999
5000,[0- [1- None- 2- [3- None]]],2000,999.97,492.29,507.67,99.594,999.10,99.913,998585.2,998583.9,99.999
5000,[0- [1- None- 2- [3- None]]],5000,2499.61,1237.52,1262.09,99.838,2498.73,99.964,2496312.0,2496311.4,99.999
