stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftratioformula,optimalcount,optimalgft,auctioncount,auctionkmin,auctionkmax,countratio,kminratio,kmaxratio,gft,gftratio
Average,[0- [1- None- 2- [3- None]]],2,1.01,1.01,7.272,1.13,116388.2,0.50,0.50,0.50,38.86,43.24,43.24,61573.9,45.447
Average,[0- [1- None- 2- [3- None]]],4,1.57,1.85,24.159,2.31,231477.7,1.50,1.36,1.39,64.68,93.76,74.86,192683.5,80.859
Average,[0- [1- None- 2- [3- None]]],6,1.91,2.69,31.309,3.47,352653.1,2.60,1.96,2.26,74.74,124.87,83.91,324996.6,90.884
Average,[0- [1- None- 2- [3- None]]],10,2.47,4.36,43.183,5.84,591302.8,4.89,2.61,3.94,83.71,140.73,90.34,575451.8,96.355
Average,[0- [1- None- 2- [3- None]]],16,3.39,6.84,56.668,9.36,961624.6,8.38,3.47,6.43,89.38,143.84,93.92,951733.0,98.430
Average,[0- [1- None- 2- [3- None]]],26,5.04,10.98,69.846,15.26,1567616.6,14.27,4.83,10.58,93.46,122.86,96.32,1561472.2,99.394
Average,[0- [1- None- 2- [3- None]]],50,9.53,20.93,83.832,29.48,3001189.4,28.49,9.13,20.54,96.63,112.61,98.12,2998098.2,99.833
Average,[0- [1- None- 2- [3- None]]],100,18.86,41.59,91.385,59.00,6061759.8,58.00,18.49,41.20,98.29,119.06,99.07,6060065.7,99.954
Average,[0- [1- None- 2- [3- None]]],500,90.91,207.23,96.922,295.06,30231638.1,293.94,91.92,206.84,99.61,264.75,99.81,30231176.6,99.997
Average,[0- [1- None- 2- [3- None]]],1000,176.47,414.65,97.343,590.67,60792171.3,589.47,177.50,414.29,99.79,265.73,99.91,60791910.6,99.999
